,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
34,Hasaki,75,JP,1570697655,64,35.73,140.83,69.8,13.87
35,Fairbanks,90,US,1570697657,100,64.84,-147.72,37.4,0.98
36,Hermanus,0,ZA,1570697658,54,-34.42,19.24,66.0,11.99
37,Abu,20,JP,1570697659,64,34.51,131.49,73.4,3.36
38,Rikitea,100,PF,1570697661,63,-23.12,-134.97,68.85,5.44
39,Souillac,75,FR,1570697662,93,45.6,-0.6,60.01,6.93
40,Along,79,IN,1570697663,91,28.17,94.8,71.62,2.55
41,Coquimbo,90,CL,1570697665,100,-29.95,-71.34,50.0,3.36
42,Naze,75,NG,1570697666,94,5.43,7.07,77.0,3.36
43,Thompson,40,CA,1570697667,79,55.74,-97.86,24.8,5.82
44,Yellowknife,90,CA,1570697669,64,62.45,-114.38,33.8,8.05
45,Harper,20,US,1570697670,78,30.3,-99.24,77.0,10.29
46,Busselton,51,AU,1570697671,42,-33.64,115.35,70.0,11.38
47,Albany,90,US,1570697673,76,42.65,-73.75,52.0,4.7
48,Yar-Sale,100,RU,1570697674,86,66.83,70.83,42.19,28.42
49,Upernavik,46,GL,1570697675,48,72.79,-56.15,27.84,8.83
50,Diffa,85,NE,1570697677,48,13.32,12.61,86.99,3.07
51,Martinsville,1,US,1570697678,100,36.69,-79.87,57.2,3.99
52,Agadez,100,NE,1570697679,83,16.97,7.99,78.8,6.93
53,Kawalu,60,ID,1570697680,62,-7.38,108.21,78.44,6.27
54,Ingham,47,AU,1570697682,83,-18.65,146.16,69.71,2.79
55,Chalus,90,IR,1570697683,100,36.66,51.42,66.2,4.7
56,Dhidhdhoo,100,MV,1570697684,74,6.88,73.1,83.61,9.41
57,Bathsheba,20,BB,1570697686,74,13.22,-59.52,80.6,12.75
58,Punta,40,PH,1570697687,62,14.18,121.12,90.0,1.12
59,Taoudenni,0,ML,1570697688,22,22.68,-3.98,83.82,16.38
60,Ancud,20,CL,1570697690,100,-41.87,-73.83,48.2,10.29
61,Half,75,LR,1570697691,88,6.38,-10.7,80.6,2.42
62,Tuim,0,RU,1570697692,34,54.34,89.93,42.01,7.09
63,Shelburne,5,CA,1570697693,87,44.08,-80.2,48.0,12.75
64,Hithadhoo,100,MV,1570697695,81,-0.6,73.08,81.21,20.44
65,Bambous,20,MU,1570697696,51,-20.26,57.41,80.6,21.92
66,Mar,70,CN,1570697698,24,29.86,90.73,45.54,14.39
67,Bluff,0,AU,1570697699,66,-23.58,149.07,68.83,9.41
68,Sorong,100,ID,1570697700,98,-0.86,131.25,75.9,0.8
69,Nchelenge,38,ZM,1570697702,48,-9.35,28.74,83.44,4.85
70,Cape,100,CL,1570697703,93,-36.41,-71.9,51.8,6.93
71,Avarua,100,CK,1570697704,73,-21.21,-159.78,71.6,9.17
72,Bredasdorp,0,ZA,1570697706,45,-34.53,20.04,63.0,5.82
73,Saldanha,0,PT,1570697707,61,41.42,-6.55,57.25,9.07
74,Ponta,96,BR,1570697708,98,-0.53,-65.05,69.93,1.49
75,San,22,ML,1570697710,33,13.3,-4.9,88.86,11.95
76,Makokou,100,GA,1570697711,69,0.56,12.85,80.1,4.34
77,Salalah,20,OM,1570697712,70,17.01,54.1,86.0,11.41
78,Samarai,92,PG,1570697714,92,-10.62,150.67,74.16,4.04
79,Ilulissat,0,GL,1570697715,50,69.22,-51.1,28.4,9.17
80,Smidovich,100,RU,1570697717,66,48.6,133.81,52.14,13.91
81,Port,100,CD,1570697718,55,-7.04,29.76,78.4,3.96
82,Yenagoa,100,NG,1570697719,76,4.92,6.26,82.6,3.27
83,Katsuura,75,JP,1570697721,64,33.93,134.5,75.2,3.36
84,Cabo,20,ES,1570697722,76,43.18,-5.8,62.01,8.05
85,Slyudyanka,100,RU,1570697723,75,51.66,103.72,20.8,5.78
86,Lityn,75,UA,1570697725,58,49.32,28.09,57.2,11.18
87,Kantang,40,TH,1570697726,83,7.42,99.52,80.6,5.82
88,Talnakh,28,RU,1570697727,68,69.49,88.39,28.4,17.9
89,Castro,20,CL,1570697729,100,-42.48,-73.76,48.2,10.29
90,Mataura,100,NZ,1570697730,93,-46.19,168.86,44.01,14.0
91,Hilo,1,US,1570697731,83,19.71,-155.08,78.8,5.82
92,Kedrovyy,0,RU,1570697733,34,56.17,91.82,37.4,8.95
93,Kruisfontein,67,ZA,1570697734,54,-34.0,24.73,59.76,4.77
94,Chokurdakh,49,RU,1570697735,85,70.62,147.9,7.25,3.67
95,Klaksvik,75,FO,1570697737,93,62.23,-6.59,44.6,14.99
96,Paracuru,40,BR,1570697738,69,-3.41,-39.03,78.8,12.75
97,Srednekolymsk,100,RU,1570697739,82,67.46,153.71,15.49,7.37
98,Bonavista,0,CA,1570697741,86,48.65,-53.11,39.0,7.0
99,Gobabis,0,NA,1570697742,17,-22.45,18.97,73.4,9.17
100,Lake,98,CN,1570697744,95,28.33,102.35,49.62,5.33
101,Barrow,25,AR,1570697745,47,-38.31,-60.23,50.86,11.23
102,Palmer,16,AU,1570697747,48,-34.85,139.16,62.6,16.11
103,Narsaq,0,GL,1570697748,68,60.91,-46.05,30.2,3.76
104,Tiksi,87,RU,1570697749,94,71.64,128.87,18.81,5.08
105,Saint-Philippe,1,CA,1570697750,93,45.36,-73.48,48.0,8.11
106,Goderich,0,CA,1570697752,89,43.74,-81.71,48.99,10.0
107,Iranshahr,20,IR,1570697753,13,27.21,60.69,95.0,4.7
108,Tuatapere,100,NZ,1570697754,93,-46.13,167.69,44.01,14.0
109,Manggar,13,ID,1570697756,78,-2.88,108.27,81.52,13.6
110,Puerto,0,AR,1570697757,69,-51.62,-69.23,35.6,31.09
111,Burkburnett,40,US,1570697758,73,34.1,-98.57,78.8,16.11
112,Urucui,42,BR,1570697760,43,-7.23,-44.56,71.22,3.96
113,Vaini,40,IN,1570697761,65,15.34,74.49,84.2,2.24
114,Kolda,58,SN,1570697763,84,12.89,-14.94,79.27,2.88
115,Arraial,94,BR,1570697764,82,-22.84,-46.65,64.4,9.17
116,Bilibino,0,RU,1570697765,86,68.06,166.44,5.2,2.8
117,Bethel,90,US,1570697767,93,60.79,-161.76,37.4,5.82
118,Chipata,0,ZM,1570697768,24,-13.64,32.65,93.92,7.58
119,Dakar,20,SN,1570697769,78,14.69,-17.45,82.4,3.36
120,Broome,0,GB,1570697771,81,52.47,1.45,55.0,9.17
121,Man,63,CI,1570697773,73,7.41,-7.55,78.08,1.91
122,Emerald,24,AU,1570697774,15,-23.53,148.16,82.4,4.7
123,Adrar,0,DZ,1570697776,37,27.87,-0.29,69.8,14.99
124,Saint-Georges,92,CA,1570697777,100,46.12,-70.67,34.0,1.01
125,Skibbereen,75,IE,1570697778,100,51.55,-9.27,53.6,14.99
126,Pacifica,1,US,1570697780,25,37.61,-122.49,66.2,8.05
127,Mogadishu,0,SO,1570697781,80,2.04,45.34,80.26,7.12
128,Dikson,100,RU,1570697783,86,73.51,80.55,29.17,24.73
129,Coahuayana,100,MX,1570697784,95,18.62,-100.35,70.59,1.76
130,Isangel,0,VU,1570697785,70,-19.55,169.27,72.37,1.94
131,Lompoc,90,US,1570697787,81,34.64,-120.46,55.99,5.05
132,Atambua,76,ID,1570697789,62,-9.11,124.89,79.21,5.17
133,Superior,90,US,1570697790,80,39.95,-105.17,30.2,8.05
134,Lorengau,0,PG,1570697792,67,-2.02,147.27,84.74,1.45
135,Moroni,20,GR,1570697793,78,35.09,24.92,81.0,6.46
136,Halifax,90,CA,1570697794,93,44.65,-63.58,46.99,8.05
137,Nikolskoye,90,RU,1570697796,93,59.7,30.79,43.0,4.47
138,Cooma,90,AU,1570697797,66,-36.24,149.13,50.0,14.99
139,Pampierstad,0,ZA,1570697798,19,-27.78,24.69,74.62,12.98
140,Rosetta,40,EG,1570697800,61,31.4,30.42,80.6,11.41
141,Hami,77,CN,1570697801,14,42.84,93.51,71.82,4.53
142,Valparaiso,1,US,1570697802,93,41.47,-87.06,57.99,3.36
143,Esperance,0,AU,1570697804,43,-33.86,121.89,73.4,14.99
144,Kaitangata,100,NZ,1570697805,87,-46.28,169.85,46.0,21.0
145,Biankouma,63,CI,1570697806,73,7.74,-7.61,78.08,1.91
146,Fortuna,1,US,1570697808,100,40.6,-124.16,39.99,8.05
147,Galesong,20,ID,1570697809,55,-5.32,119.37,87.8,11.41
148,Aktau,0,KZ,1570697810,41,43.65,51.16,60.8,4.47
149,Tasiilaq,65,GL,1570697812,74,65.61,-37.64,35.6,1.17
150,Nemuro,20,JP,1570697813,87,43.32,145.57,55.4,2.24
151,Hoi,79,ID,1570697815,61,-9.83,124.43,78.48,7.94
152,Banepa,40,NP,1570697816,57,27.63,85.52,77.0,11.41
153,Daitari,52,IN,1570697817,59,21.11,85.83,88.39,0.79
154,Tabou,89,CI,1570697819,88,4.42,-7.36,78.55,6.39
155,Itarema,54,BR,1570697820,81,-2.92,-39.92,73.74,7.64
156,Dunedin,100,NZ,1570697822,96,-45.87,170.5,46.99,1.99
157,Illapel,100,CL,1570697823,42,-31.63,-71.17,53.53,2.69
158,Port,100,CD,1570697824,55,-7.04,29.76,78.4,3.96
159,Pevek,100,RU,1570697826,83,69.7,170.27,24.19,10.43
160,Sisimiut,100,GL,1570697827,68,66.94,-53.67,26.76,6.97
161,Gueret,90,FR,1570697829,100,46.17,1.87,55.99,5.82
162,Port-Gentil,75,GA,1570697830,88,-0.72,8.78,80.6,6.93
163,Iqaluit,90,CA,1570697831,86,63.75,-68.52,37.4,20.8
164,Grand,91,FR,1570697833,81,48.39,5.49,55.4,14.99
165,Antofagasta,90,CL,1570697834,71,-23.65,-70.4,57.2,10.29
166,Vao,100,EE,1570697835,93,59.1,26.19,48.13,3.37
167,Kavieng,0,PG,1570697837,69,-2.57,150.8,84.24,5.15
168,Kantabanji,17,IN,1570697838,62,20.47,82.92,86.0,6.84
169,Havre-Saint-Pierre,20,CA,1570697840,100,50.23,-63.6,30.2,2.24
170,Aklavik,75,CA,1570697841,86,68.22,-135.01,28.4,3.36
171,Kudahuvadhoo,100,MV,1570697842,71,2.67,72.89,83.17,8.35
172,East,96,UG,1570697844,75,3.43,31.7,80.15,3.7
173,Meulaboh,100,ID,1570697845,78,4.14,96.13,81.37,7.31
174,Kalulushi,100,ZM,1570697846,22,-12.84,28.09,91.33,6.97
175,Aksha,100,RU,1570697848,38,50.28,113.29,29.41,14.68
176,Formoso,25,BR,1570697849,59,-14.95,-46.23,68.76,11.18
177,Jishou,94,CN,1570697851,70,28.26,109.7,78.39,3.69
178,Minyar,100,RU,1570697852,72,55.07,57.55,39.7,6.01
179,Damavand,0,IR,1570697853,16,35.72,52.07,74.73,12.31
180,Muros,4,ES,1570697855,87,42.77,-9.06,66.99,4.7
181,Morondava,0,MG,1570697856,32,-20.3,44.28,95.65,10.63
182,Kodiak,75,US,1570697857,93,39.95,-94.76,62.01,11.41
183,Cherskiy,0,RU,1570697858,78,68.75,161.3,12.9,5.25
184,Jumla,0,NP,1570697860,30,29.28,82.18,63.63,7.31
185,Basco,75,US,1570697864,82,40.33,-91.2,63.0,6.93
186,Chenzhou,45,CN,1570697865,43,25.81,113.03,90.21,2.37
187,Lebu,31,ET,1570697867,64,8.96,38.73,66.22,5.64
188,Torbay,5,CA,1570697868,93,47.66,-52.73,41.0,5.82
189,Waipawa,99,NZ,1570697869,92,-39.94,176.59,55.99,2.62
190,Bonthe,98,SL,1570697871,83,7.53,-12.5,79.29,3.29
191,Sitka,0,US,1570697872,87,37.17,-99.65,64.0,11.01
192,Richards,90,US,1570697873,93,46.84,-95.91,55.4,8.05
193,Muzhi,100,RU,1570697875,95,65.4,64.7,38.08,12.03
194,Verkhnevilyuysk,100,RU,1570697876,94,63.45,120.31,20.95,5.95
195,Lagoa,0,PT,1570697877,49,37.14,-8.45,72.0,3.36
196,Taber,1,CA,1570697879,85,49.79,-112.14,10.4,4.7
197,Ramkola,40,IN,1570697880,70,26.91,83.83,87.8,5.82
198,Hay,11,AU,1570697881,49,-34.51,144.84,55.89,4.03
199,Lasa,20,CY,1570697883,69,34.92,32.53,84.0,6.93
200,Norman,1,US,1570697884,83,35.22,-97.44,73.4,17.22
201,Belmonte,0,PT,1570697886,67,40.36,-7.35,78.01,7.42
202,San,22,ML,1570697887,33,13.3,-4.9,88.86,11.95
203,Orlik,75,PL,1570697888,87,53.95,17.74,52.0,16.11
204,Ponta,96,BR,1570697890,98,-0.53,-65.05,69.93,1.49
205,Marienburg,75,DE,1570697891,81,52.12,9.98,55.0,14.99
206,Soyo,98,AO,1570697892,67,-6.13,12.37,83.17,3.74
207,Khatanga,88,RU,1570697894,90,71.98,102.47,16.61,10.39
208,Sandnessjoen,4,NO,1570697895,69,66.02,12.63,42.8,6.93
209,Verkhoyansk,91,RU,1570697896,72,67.55,133.39,9.68,4.2
210,Wamba,15,CD,1570697898,55,2.14,27.99,86.85,1.34
211,Nishihara,75,JP,1570697899,64,35.74,139.53,73.99,14.99
212,Quelimane,26,MZ,1570697900,47,-17.88,36.89,95.0,10.29
213,Marawi,100,PH,1570697902,95,8.0,124.29,73.0,5.01
214,Filingue,30,NE,1570697903,52,14.35,3.32,85.75,11.37
215,Mandalgovi,59,MN,1570697905,74,45.76,106.27,41.85,18.25
216,Kovdor,88,RU,1570697906,84,67.56,30.47,34.09,7.52
217,Severo-Kurilsk,98,RU,1570697908,91,50.68,156.12,41.76,32.88
218,Padre,67,BR,1570697909,96,-3.74,-59.2,72.5,1.05
219,Campos,0,PT,1570697910,77,41.97,-8.7,66.99,3.36
220,Pangnirtung,100,CA,1570697912,77,66.15,-65.72,35.15,10.27
221,Lebork,75,PL,1570697914,87,54.54,17.75,52.0,16.11
222,Husavik,100,CA,1570697915,88,50.56,-96.99,37.0,3.0
223,Tazovskiy,100,RU,1570697916,65,67.47,78.7,36.73,26.43
224,Maniitsoq,99,GL,1570697918,49,65.42,-52.9,34.61,4.39
225,Avera,1,US,1570697919,93,33.19,-82.53,62.6,8.05
226,San,22,ML,1570697920,33,13.3,-4.9,88.86,11.95
227,Nouadhibou,100,MR,1570697922,69,20.93,-17.03,73.4,12.75
228,Kota,0,IN,1570697923,32,25.17,75.86,88.32,3.0
229,Anadyr,40,RU,1570697924,85,64.73,177.51,21.2,4.47
230,Mys,100,RU,1570697926,95,62.06,48.62,34.68,7.06
231,Laguna,75,BZ,1570697927,94,16.17,-88.94,78.8,1.27
232,Bilma,92,NE,1570697928,24,18.69,12.92,93.38,5.12
233,Chuy,90,UY,1570697930,92,-33.69,-53.46,59.74,4.76
234,Yulara,0,AU,1570697931,7,-25.24,130.99,91.4,8.05
235,Ugoofaaru,100,MV,1570697932,73,5.67,73.0,82.51,10.93
236,Douglas,90,US,1570697933,87,58.28,-134.39,44.6,6.93
237,Kulhudhuffushi,100,MV,1570697935,75,6.62,73.07,82.83,10.07
238,Sawtell,40,AU,1570697936,72,-30.38,153.1,62.6,11.41
239,Santa,1,PH,1570697937,77,17.49,120.43,80.4,2.93
240,Sao,30,IN,1570697939,61,20.51,76.21,83.82,6.08
241,Nkhotakota,0,MW,1570697940,74,-12.93,34.3,77.81,7.12
242,Port,100,CD,1570697941,55,-7.04,29.76,78.4,3.96
243,Matay,100,EG,1570697943,21,28.42,30.79,88.59,12.01
244,Ribeira,0,PT,1570697944,77,41.76,-8.56,66.99,3.36
245,Matagami,20,NG,1570697945,83,9.67,8.4,69.8,12.75
246,Koslan,99,RU,1570697947,83,63.46,48.9,35.74,8.04
247,Bucksport,90,US,1570697948,77,33.66,-79.1,66.2,9.17
248,Lata,70,IN,1570697949,93,30.78,78.62,37.45,7.05
249,Geraldton,75,CA,1570697951,81,49.72,-86.95,51.8,9.17
250,Puerto,0,AR,1570697952,69,-51.62,-69.23,35.6,31.09
251,Laramie,90,US,1570697953,78,41.31,-105.59,21.0,9.17
252,Mehamn,75,NO,1570697955,86,71.03,27.85,41.0,11.41
253,Farim,67,GW,1570697956,84,12.48,-15.22,79.41,2.1
254,Carnarvon,49,ZA,1570697957,19,-30.97,22.13,60.48,17.84
255,Neuquen,92,AR,1570697959,71,-38.95,-68.06,53.6,4.69
256,Poum,4,MK,1570697960,72,41.28,20.71,64.4,3.36
257,Ouro,1,BR,1570697961,96,-27.34,-51.61,55.76,4.15
258,Kuusamo,75,FI,1570697963,91,65.96,29.19,32.0,8.05
259,Zhigansk,100,RU,1570697964,80,66.77,123.37,22.05,16.26
260,Victoria,75,BN,1570697965,74,5.28,115.24,84.2,2.24
261,Takoradi,92,GH,1570697967,84,4.89,-1.75,79.18,8.62
262,Xiongyue,70,CN,1570697968,83,40.18,122.12,61.95,4.53
263,Bartica,20,GY,1570697969,100,6.41,-58.62,75.2,2.24
264,Malanje,91,AO,1570697971,69,-9.54,16.35,77.31,4.04
265,Beringovskiy,5,RU,1570697972,62,63.05,179.32,32.94,6.41
266,Puerto,0,AR,1570697973,69,-51.62,-69.23,35.6,31.09
267,Colac,99,AU,1570697975,88,-38.34,143.59,52.0,4.12
268,Baruun-Urt,72,MN,1570697976,20,46.68,113.28,39.81,6.83
269,Roald,75,NO,1570697977,66,62.58,6.12,50.0,10.29
270,Camocim,2,BR,1570697979,76,-2.9,-40.84,74.23,13.86
271,Livny,100,RU,1570697980,97,52.43,37.61,47.91,13.29
272,Clyde,100,NZ,1570697981,95,-45.19,169.32,41.0,4.0
273,Teguldet,0,RU,1570697983,43,57.31,88.17,40.12,7.94
274,Jinka,35,ET,1570697984,84,5.79,36.57,74.03,2.69
275,West,90,US,1570697986,78,31.8,-97.09,80.01,17.22
276,Sinegorye,100,RU,1570697987,96,62.09,150.53,15.46,1.77
277,Tucumcari,1,US,1570697989,47,35.17,-103.73,59.0,3.36
278,Pisco,90,PE,1570697990,87,-13.71,-76.2,59.0,5.82
279,Port,100,CD,1570697992,55,-7.04,29.76,78.4,3.96
280,Luanda,75,AO,1570697993,74,-8.83,13.24,78.8,4.7
281,Smithers,1,CA,1570697995,92,54.78,-127.17,24.8,2.17
282,Save,95,BJ,1570697996,81,8.04,2.49,79.5,5.48
283,Airai,37,TL,1570697998,52,-8.93,125.41,73.63,5.1
284,Celestun,0,MX,1570697999,84,20.87,-90.4,80.11,12.5
285,San,22,ML,1570698000,33,13.3,-4.9,88.86,11.95
286,Paratebueno,98,CO,1570698006,95,4.38,-73.21,69.75,1.3
287,Toora-Khem,0,RU,1570698008,34,52.47,96.11,40.42,3.9
288,Leningradskiy,25,RU,1570698009,71,69.38,178.42,25.65,13.78
289,Uruzgan,0,AF,1570698011,11,32.93,66.63,66.7,10.25
290,Hovd,2,NO,1570698012,81,63.83,10.7,44.01,8.05
291,Ballina,90,IE,1570698013,93,54.11,-9.15,55.99,11.41
292,Praia,75,BR,1570698015,68,-20.25,-43.81,69.8,11.41
293,Sorata,0,BO,1570698016,45,-15.77,-68.65,30.43,1.79
294,College,90,US,1570698018,100,64.86,-147.8,37.4,1.23
295,Olimpia,62,IT,1570698019,68,44.99,8.54,69.01,8.05
296,Cochrane,100,CL,1570698020,98,-47.25,-72.57,30.78,5.26
297,Lingao,2,CN,1570698022,77,19.91,109.69,83.7,13.83
298,Lavrentiya,0,RU,1570698023,72,65.58,-170.99,31.26,10.84
299,Terrace,5,CA,1570698025,100,54.52,-128.61,28.4,2.24
300,Port,100,CD,1570698026,55,-7.04,29.76,78.4,3.96
301,Byron,1,US,1570698028,93,32.65,-83.76,62.6,5.36
302,Alofi,52,NU,1570698029,94,-19.06,-169.92,73.4,2.24
303,San,22,ML,1570698030,33,13.3,-4.9,88.86,11.95
304,Luwingu,0,ZM,1570698032,22,-10.26,29.92,92.17,8.4
305,Mlonggo,40,ID,1570698033,58,-6.53,110.7,87.8,12.75
306,Paso,57,CR,1570698035,83,9.37,-84.02,68.0,3.21
307,Termez,32,AF,1570698036,17,37.23,67.28,84.2,6.93
308,Khuzhir,100,RU,1570698037,44,53.19,107.35,32.11,15.39
309,Inhambane,75,MZ,1570698039,74,-23.87,35.38,78.8,11.41
310,Livingston,75,US,1570698040,78,32.58,-88.19,73.0,5.24
311,Yumen,10,CN,1570698041,18,40.29,97.04,68.52,8.89
312,Abha,40,SA,1570698043,28,18.22,42.5,75.2,13.87
313,Gallup,1,US,1570698045,40,35.53,-108.74,51.8,9.17
314,Apac,99,UG,1570698046,81,1.98,32.53,78.01,2.55
315,Mar,70,CN,1570698047,24,29.86,90.73,45.54,14.39
316,Ucluelet,0,CA,1570698049,90,48.94,-125.55,34.0,1.01
317,San,22,ML,1570698050,33,13.3,-4.9,88.86,11.95
318,Capoterra,0,IT,1570698051,73,39.18,8.97,73.0,10.29
319,Ahipara,100,NZ,1570698053,100,-35.17,173.16,62.01,11.86
320,Cidreira,0,BR,1570698054,85,-30.17,-50.22,66.56,11.69
321,Comodoro,67,BR,1570698055,74,-13.66,-59.79,70.83,2.8
322,Kolpashevo,3,RU,1570698056,50,58.31,82.9,44.22,8.46
323,Vardo,90,US,1570698058,76,39.62,-77.74,52.0,3.36
324,Buraydah,40,SA,1570698059,36,26.33,43.97,95.0,5.82
325,Cockburn,0,AU,1570698061,22,-32.08,141.0,69.8,9.17
326,Manono,58,CD,1570698062,52,-7.3,27.4,90.36,1.4
327,Chapada,56,BR,1570698063,87,-3.91,-40.78,65.5,17.36
328,Amga,100,RU,1570698065,85,60.89,131.98,23.52,5.39
329,Wattegama,100,LK,1570698066,87,7.35,80.68,79.84,2.56
330,Grand,91,FR,1570698067,81,48.39,5.49,55.4,14.99
331,Asosa,8,ET,1570698069,62,10.07,34.53,81.41,3.07
332,Neiafu,2,TO,1570698070,82,-18.65,-173.98,78.66,15.02
333,Tura,0,RU,1570698071,78,64.27,100.22,19.54,2.29
334,Buford,40,US,1570698073,68,32.46,-100.86,75.0,6.93
335,Atar,96,MR,1570698074,19,20.52,-13.05,87.48,20.58
336,Burnie,76,AU,1570698075,73,-41.05,145.91,53.01,1.99
337,Manjacaze,100,MZ,1570698077,87,-24.71,33.88,72.07,11.94
338,Udachnyy,90,RU,1570698078,78,66.42,112.4,17.6,13.42
339,Kuala,97,ID,1570698080,46,3.38,98.62,86.0,2.47
340,Nuuk,65,GL,1570698081,86,64.17,-51.74,33.8,6.93
341,Ust-Tsilma,100,RU,1570698082,82,65.44,52.15,34.56,6.91
342,Chumikan,100,RU,1570698083,96,54.72,135.31,36.9,3.37
343,Sheridan,90,US,1570698085,92,39.65,-105.03,30.2,16.11
344,Petropavlovsk-Kamchatskiy,10,RU,1570698086,75,53.05,158.65,44.6,6.71
345,Birjand,0,IR,1570698088,16,32.86,59.22,77.0,16.11
346,Porto,0,PT,1570698089,82,41.15,-8.61,63.0,1.12
347,Doka,28,SD,1570698091,55,13.52,35.76,86.22,4.65
348,Kaeo,100,NZ,1570698092,100,-35.1,173.78,62.01,20.02
349,Shimanovsk,0,RU,1570698093,47,52.0,127.67,33.19,6.39
350,Biak,60,ID,1570698095,79,-0.91,122.88,81.59,12.01
351,Ponte,0,PT,1570698096,82,41.47,-8.34,63.0,1.12
352,Fez,77,MA,1570698098,36,34.03,-5.02,75.2,6.93
353,Gaborone,0,BW,1570698099,9,-24.66,25.91,86.0,10.29
354,Iwase,75,JP,1570698100,68,36.35,140.1,77.0,8.05
355,Kualakapuas,40,ID,1570698102,52,-3.01,114.39,93.2,9.17
356,Nayoro,0,JP,1570698103,93,44.36,142.46,48.33,4.63
357,Antalaha,0,MG,1570698104,76,-14.9,50.28,77.25,13.29
358,Chivacoa,87,VE,1570698106,96,10.16,-68.9,69.8,2.98
359,Sobolevo,100,RU,1570698107,97,54.43,31.9,44.89,9.96
360,Gorodets,90,RU,1570698109,87,56.65,43.48,45.0,2.24
361,Izhma,94,RU,1570698110,75,65.01,53.91,34.75,7.45
362,Letka,75,BA,1570698111,77,43.74,17.27,62.6,2.24
363,Kununurra,70,AU,1570698113,5,-15.77,128.74,100.4,11.41
364,Kahului,40,US,1570698114,78,20.89,-156.47,80.6,12.75
365,Padang,90,ID,1570698116,94,-0.92,100.36,72.9,3.0
366,Lamont,1,CA,1570698117,67,53.76,-112.78,24.01,8.05
367,Soltsy,100,RU,1570698118,91,58.12,30.32,47.43,9.01
368,Howick,100,ZA,1570698120,79,-29.48,30.22,61.0,1.01
369,Azle,40,US,1570698121,73,32.9,-97.55,79.0,16.11
370,Makakilo,40,US,1570698123,78,21.35,-158.09,80.6,6.93
371,Vila,62,IT,1570698125,100,45.18,8.4,59.0,3.36
372,Tynda,100,RU,1570698126,55,55.15,124.74,23.05,6.99
373,Saint-Joseph,75,FR,1570698127,52,43.56,6.97,70.0,3.36
374,Maceio,40,BR,1570698129,94,-9.67,-35.74,68.0,1.12
375,Coihaique,90,CL,1570698131,93,-45.58,-72.07,44.6,3.36
376,Komsomolskiy,100,RU,1570698132,98,67.55,63.78,35.31,5.21
377,Acapulco,75,MX,1570698134,83,16.86,-99.88,80.6,5.82
378,Arivonimamo,20,MG,1570698135,47,-19.01,47.18,75.2,9.17
379,Benguela,89,AO,1570698137,81,-12.58,13.4,74.21,5.29
380,Sorochinsk,95,RU,1570698139,57,52.43,53.15,47.75,9.62
381,Cap,40,FR,1570698140,76,49.27,-1.21,63.0,13.87
382,Vallenar,13,CL,1570698141,67,-28.58,-70.76,47.28,2.38
